ID,ClassID,SubclassID,Material,InventoryType,RequiredLevel,SheatheType,RandomSelect,ItemRandomSuffixGroupID,Sound_override_subclassID,ScalingStatDistributionID,IconFileDataID,ItemGroupSoundsID,ContentTuningID,MaxDurability,AmmunitionType,ScalingStatValue,DamageType_0,DamageType_1,DamageType_2,DamageType_3,DamageType_4,Resistances_0,Resistances_1,Resistances_2,Resistances_3,Resistances_4,Resistances_5,Resistances_6,MinDamage_0,MinDamage_1,MinDamage_2,MinDamage_3,MinDamage_4,MaxDamage_0,MaxDamage_1,MaxDamage_2,MaxDamage_3,MaxDamage_4
647,2,8,1,17,52,1,0,0,-1,0,135317,9,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,168,0,0,0,0
720,4,2,8,10,23,0,0,0,-1,0,132939,7,0,35,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,4,0,4,12,0,0,0,0,-1,0,132788,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,2,7,1,13,23,3,0,0,-1,0,135346,8,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,42,0,0,0,0
754,2,7,1,13,42,3,0,0,-1,0,135312,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,99,0,0,0,0
756,2,1,1,17,24,1,0,0,-1,0,134708,9,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,74,0,0,0,0
776,2,15,1,13,26,3,0,0,-1,0,135638,8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,33,0,0,0,0
789,2,4,2,21,17,3,5197,0,-1,0,133045,8,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,33,0,0,0,0
790,2,0,1,21,18,3,5196,0,-1,0,132405,8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,38,0,0,0,0
791,2,10,2,17,26,2,0,0,-1,0,135139,13,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,99,0,0,0,0
809,2,7,1,21,45,3,0,0,-1,0,135329,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,130,0,0,0,0
810,2,4,2,21,49,3,0,0,-1,0,133048,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,108,0,0,0,0
811,2,0,1,21,52,3,0,0,-1,0,132398,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,146,0,0,0,0
812,2,10,2,17,49,2,0,0,-1,0,135166,13,0,120,0,0,0,0,0,0,0,0,0,0,15,0,0,0,127,0,0,0,0,191,0,0,0,0
833,4,0,4,12,51,0,0,0,-1,0,134580,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,4,0,4,11,45,0,3253,0,-1,0,132523,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,2,0,1,13,32,3,5241,0,-1,0,132399,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,69,0,0,0,0
864,2,7,1,13,33,3,5240,0,-1,0,135328,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,40,0,0,0,0
865,2,4,2,13,26,3,5224,0,-1,0,133478,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,61,0,0,0,0
866,2,10,2,17,37,2,5257,0,-1,0,135145,13,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,90,0,0,0,0
867,4,2,8,10,37,0,0,0,-1,0,132940,7,0,40,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,2,4,2,21,38,3,0,0,-1,0,133488,8,0,105,0,0,0,0,0,0,0,100,0,0,0,0,0,0,48,0,0,0,0,90,0,0,0,0
869,2,7,1,21,36,3,0,0,-1,0,135326,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,70,0,0,0,0
870,2,1,1,17,35,1,0,0,-1,0,132393,9,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,141,0,0,0,0
871,2,0,1,13,42,3,0,0,-1,0,132408,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,69,0,0,0,0
872,2,1,1,17,16,1,0,0,-1,0,135419,9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,55,0,0,0,0
873,2,10,2,17,35,2,0,0,-1,0,135150,13,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,180,0,0,0,0
880,2,10,2,17,18,2,0,0,-1,0,135162,13,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,62,0,0,0,0
885,2,0,1,21,19,3,0,0,-1,0,132405,8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,34,0,0,0,0
886,2,7,1,21,21,3,0,0,-1,0,135327,8,0,70,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,30,0,0,0,0
888,4,2,8,10,22,0,0,0,-1,0,132947,7,0,35,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,2,10,2,17,19,2,0,0,-1,0,135141,13,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,84,0,0,0,0
897,4,2,8,9,24,0,0,0,-1,0,132604,7,0,30,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,2,5,2,17,20,1,0,0,-1,0,133476,9,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,69,0,0,0,0
913,2,8,1,17,24,1,0,0,-1,0,135311,9,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,90,0,0,0,0
914,4,3,5,5,25,0,0,0,-1,0,132624,10,0,100,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,2,4,2,21,20,3,0,0,-1,0,133486,8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,42,0,0,0,0
934,2,0,1,13,32,3,0,0,-1,0,132405,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,94,0,0,0,0
935,2,7,1,13,15,3,0,0,-1,0,135327,8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,46,0,0,0,0
936,2,4,2,13,33,3,0,0,-1,0,133729,8,0,90,0,0,0,5,0,0,0,0,0,0,0,0,10,0,45,1,0,0,0,84,10,0,0,0
937,2,10,2,17,33,2,0,0,-1,0,135150,13,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,113,0,0,0,0
942,4,0,3,11,47,0,0,0,-1,0,133349,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
943,2,10,2,17,43,2,0,0,-1,0,135166,13,0,120,0,0,0,0,0,0,0,260,0,0,0,0,0,0,89,0,0,0,0,134,0,0,0,0
944,2,10,2,17,56,2,0,0,-1,0,135144,13,0,120,0,0,0,0,0,0,0,0,0,20,0,20,0,0,147,0,0,0,0,221,0,0,0,0
1009,2,4,2,21,0,3,0,0,-1,0,133045,8,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,21,0,0,0,0
